PMID,Sentence,E1,Type_E1,Relation,E2,Type_E2
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",selective serotonin reuptake inhibitor,CHEMICAL,attenuate,aggressive behavior,DISEASE
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",SSRI fluoxetine FLX,CHEMICAL,reduced responsiveness of gaba(a)-r to,GABA mimetic drugs,CHEMICAL
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",SSRI fluoxetine FLX,CHEMICAL,reduced responsiveness of gaba(a)-r to,pentobarbital,CHEMICAL
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",congener norfluoxetine,CHEMICAL,reduced responsiveness of gaba(a)-r to,GABA mimetic drugs,CHEMICAL
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",congener norfluoxetine,CHEMICAL,reduced responsiveness of gaba(a)-r to,pentobarbital,CHEMICAL
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",SSRI fluoxetine FLX,CHEMICAL,attenuate,aggressive behavior,DISEASE
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",selective serotonin reuptake inhibitor,CHEMICAL,reduced responsiveness of gaba(a)-r to,GABA mimetic drugs,CHEMICAL
17454962,"The selective serotonin reuptake inhibitor (SSRI) fluoxetine (FLX) and its congener norfluoxetine (Nor-FLX), when administered systemically at nmol/kg doses, normalize the reduced content of brain ALLO and the reduced responsiveness of GABA(A)-R to GABA mimetic drugs (i.e. pentobarbital) and also attenuate aggressive behavior in socially isolated mice in a stereospecific manner.",selective serotonin reuptake inhibitor,CHEMICAL,reduced responsiveness of gaba(a)-r to,pentobarbital,CHEMICAL
30812265,"To investigate probable causes for such physiological disorder, the effect of ethylene on various aspects of metabolism of carrot roots was studied.",ethylene,CHEMICAL,investigate probable causes for,physiological disorder,DISEASE
35138119,"Human phospholipid scramblase 1 (PLSCR1) is strongly expressed in response to interferon (IFN) treatment and viral infection, and it has been suggested to play an important role in IFN-dependent antiviral responses.",Human phospholipid scramblase,NUTRITION,expressed in response to,viral infection,DISEASE
9794208,"We previously demonstrated that severe graft-versus-host disease (GvHD), associated with the therapeutic infusion of donor lymphocytes after allogeneic marrow transplantation (BMT), can be efficiently controlled by the SFCMM-2-mediated expression of the herpes simplex virus thymidine kinase (HSV-tk) suicide gene into the allogeneic lymphocytes.",severe graft-versus-host disease,DISEASE,controlled by sfcmm-2-mediated expression of,simplex virus thymidine kinase,DISEASE
9794208,"We previously demonstrated that severe graft-versus-host disease (GvHD), associated with the therapeutic infusion of donor lymphocytes after allogeneic marrow transplantation (BMT), can be efficiently controlled by the SFCMM-2-mediated expression of the herpes simplex virus thymidine kinase (HSV-tk) suicide gene into the allogeneic lymphocytes.",severe graft-versus-host disease,DISEASE,controlled by sfcmm-2-mediated expression of,herpes kinase suicide gene,MENTAL_HEALTH
34080659,The present study investigated whether the antidepressant drug amitriptyline could sensitize TRAIL‑resistant A549 lung cancer cells and enhance TRAIL‑induced apoptosis.,antidepressant drug amitriptyline,CHEMICAL,sensitize,TRAIL‑resistant A549 lung cancer cells,DISEASE
34080659,The present study investigated whether the antidepressant drug amitriptyline could sensitize TRAIL‑resistant A549 lung cancer cells and enhance TRAIL‑induced apoptosis.,antidepressant drug amitriptyline,BIOCHEMICAL,sensitize,TRAIL‑resistant A549 lung cancer cells,DISEASE
34080659,"The present study revealed for the first time, to the best of our knowledge, that amitriptyline increased death receptor (DR) 4 and 5 expression, a requirement for TRAIL‑induced cell death.",amitriptyline,CHEMICAL,increase,death receptor,DISEASE
34080659,"The present study revealed for the first time, to the best of our knowledge, that amitriptyline increased death receptor (DR) 4 and 5 expression, a requirement for TRAIL‑induced cell death.",amitriptyline,CHEMICAL,increase,TRAIL‑induced cell death,DISEASE
31740575,"Accordingly, this study aimed to examine in both sexes how individual differences in alcohol intake alter ketamine self-administration and how ketamine self-administration will alter subsequent alcohol-drinking behaviors.",ketamine self-administration,CHEMICAL,alter,subsequent alcohol-drinking behaviors,DISEASE
31740575,"Accordingly, this study aimed to examine in both sexes how individual differences in alcohol intake alter ketamine self-administration and how ketamine self-administration will alter subsequent alcohol-drinking behaviors.",alcohol intake,CHEMICAL,alter,ketamine self-administration,CHEMICAL
30314288,"Mesyl Sal B was assessed for anhedonia (conditioned taste aversion), aversion (conditioned place aversion), pro-depressive effects (forced swim test), anxiety (elevated plus maze) and learning and memory deficits (novel object recognition).",Mesyl Sal B,CHEMICAL,assessed for,anhedonia conditioned taste aversion,DISEASE
30314288,"Mesyl Sal B was assessed for anhedonia (conditioned taste aversion), aversion (conditioned place aversion), pro-depressive effects (forced swim test), anxiety (elevated plus maze) and learning and memory deficits (novel object recognition).",Mesyl Sal B,CHEMICAL,assessed for,anhedonia conditioned taste aversion,MENTAL_HEALTH
30314288,"Mesyl Sal B (0.3 mg/kg) attenuated cocaine-induced hyperactivity and behavioral sensitization to cocaine without modulating sucrose self-administration and without producing aversion, sedation, anxiety, or learning and memory impairment in rats.",Mesyl Sal B,CHEMICAL,attenuate cocaine-induced hyperactivity and behavioral sensitization to,cocaine,CHEMICAL
30314288,"Mesyl Sal B (0.3 mg/kg) attenuated cocaine-induced hyperactivity and behavioral sensitization to cocaine without modulating sucrose self-administration and without producing aversion, sedation, anxiety, or learning and memory impairment in rats.",Mesyl Sal B,CHEMICAL,attenuate,behavioral sensitization,DISEASE
30314288,"Mesyl Sal B (0.3 mg/kg) attenuated cocaine-induced hyperactivity and behavioral sensitization to cocaine without modulating sucrose self-administration and without producing aversion, sedation, anxiety, or learning and memory impairment in rats.",Mesyl Sal B,CHEMICAL,attenuate,cocaine-induced hyperactivity,MENTAL_HEALTH
11454653,"It has been proposed that clinically effective 5-HT(1B/1D) agonists act peripherally to inhibit the release of calcitonin gene-related peptide (CGRP) and neurogenic dural vasodilation, and to attenuate nociceptive neurotransmission within the TNC.",effective 5-HT(1B/1D agonists,CHEMICAL,inhibit release of,neurogenic dural vasodilation,DISEASE
11454653,"It has been proposed that clinically effective 5-HT(1B/1D) agonists act peripherally to inhibit the release of calcitonin gene-related peptide (CGRP) and neurogenic dural vasodilation, and to attenuate nociceptive neurotransmission within the TNC.",effective 5-HT(1B/1D agonists,CHEMICAL,inhibit release of,CGRP,CHEMICAL
19801555,"In this study, we demonstrate that this versatile protein catalyzes an entirely different chemical reaction with alkylcobalamins using the thiolate of glutathione for nucleophilic displacement to generate cob(I)alamin and the corresponding glutathione thioether.",glutathione,CHEMICAL,have the thiolate for,nucleophilic displacement,MENTAL_HEALTH
19801555,"The catalytic turnover numbers for the dealkylation of methylcobalamin and 5'-deoxyadenosylcobalamin by MMACHC are 11.7 +/- 0.2 and 0.174 +/- 0.006 h(-1) at 20 degrees C, respectively.",MMACHC,DISEASE,have the dealkylation of,methylcobalamin,CHEMICAL
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,redness,DISEASE
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,colorless ferulic,CHEMICAL
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,ethyl caffeate,CHEMICAL
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,petunidin-3-glucoside,CHEMICAL
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,caffeic,CHEMICAL
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,total anthocyanins,NUTRITION
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,malvidin-3-glucoside,CHEMICAL
33353130,"PLS regression allowed to correlate the differences in lightness (L*) and redness (a*) of wines from 'Jaen' and 'Mencía' to differences in colored anthocyanins, polymeric pigments, total pigments, total anthocyanins, cyanidin-3-acetylglucoside, delphinidin-3-acetylglucoside, delphinidin-3-glucoside, peonidin-3-coumaroylglucoside, petunidin-3-glucoside and malvidin-3-glucoside in wines, and the colorless ferulic, caffeic, and coutaric acids, and ethyl caffeate.",PLS regression,MENTAL_HEALTH,correlate differences in,colored anthocyanins,NUTRITION
15081833,"Endosulfan, 4-nonylphenol, and 4-octylphenol displaced 3H-E2 binding to ccfSHBG albeit only at very high concentrations, whereas dieldrin and atrazine showed little displacement activity even at the highest concentrations used.",dieldrin,CHEMICAL,show,little displacement activity,MENTAL_HEALTH
10377031,"An estrogen receptor (ER) was identified in cytosolic and nuclear fractions of the testis in a marine teleost, Atlantic croaker (Micropogonias undulatus).",estrogen receptor,CHEMICAL,identified in cytosolic and nuclear fractions of testis in,Atlantic croaker,NUTRITION
25847618,"Our data indicate that post-training i.p. administration of morphine (2.5, 5 and 7.5mg/kg) dose-dependently reduced the step-through latency, showing an amnesic effect.",morphine,CHEMICAL,show,amnesic effect,DISEASE
20691753,"Results indicated that post-training or pre-test intra-CA1 administration of WIN55,212-2 (0.25 and 0.5 μg/rat) reduced the step-down latency, showing an amnestic response.","WIN55,212 μg/rat",CHEMICAL,show,amnestic response,DISEASE
20691753,"Amnesia produced by post-training WIN55,212-2 (0.5 μg/rat) was reversed by pre-test administration of the same drug dose.",Amnesia,MENTAL_HEALTH,reversed by pre-test administration of,same drug dose,BIOCHEMICAL
17593868,"Total amino acid and total branched-chain amino acid levels were similar in both groups, however significantly higher levels of glycine and ornithine were found in anorexia nervosa patients, as well as significantly lower levels of leucine, tyrosine and lysine compared with controls.",ornithine,CHEMICAL,found in,anorexia nervosa patients,MENTAL_HEALTH
17593868,"Total amino acid and total branched-chain amino acid levels were similar in both groups, however significantly higher levels of glycine and ornithine were found in anorexia nervosa patients, as well as significantly lower levels of leucine, tyrosine and lysine compared with controls.",glycine,CHEMICAL,found in,anorexia nervosa patients,MENTAL_HEALTH
17593868,Changes in the plasma amino acid profile in anorexia nervosa patients can be explained by chronic severe malnutrition and prolonged stress.,nervosa patients,MENTAL_HEALTH,explained by,chronic severe malnutrition,DISEASE
17593868,Changes in the plasma amino acid profile in anorexia nervosa patients can be explained by chronic severe malnutrition and prolonged stress.,nervosa patients,MENTAL_HEALTH,explained by,prolonged stress,DISEASE
17593868,Changes in the plasma amino acid profile in anorexia nervosa patients can be explained by chronic severe malnutrition and prolonged stress.,plasma amino acid profile,CHEMICAL,explained by,chronic severe malnutrition,DISEASE
17593868,Changes in the plasma amino acid profile in anorexia nervosa patients can be explained by chronic severe malnutrition and prolonged stress.,plasma amino acid profile,CHEMICAL,explained by,prolonged stress,DISEASE
17593868,Changes in the plasma amino acid profile in anorexia nervosa patients can be explained by chronic severe malnutrition and prolonged stress.,plasma amino acid profile,CHEMICAL,have changes in,nervosa patients,MENTAL_HEALTH
10435364,"A twenty-year-old woman with anorexia nervosa (body mass index=11) suffered from severe liver dysfunction (aspartate aminotransferase 5,000 IU/l, alanine aminotransferase 3,980 IU/l, prothrombin time 32%), hypoglycemia (serum glucose 27 mg/dl), and pancreatic dysfunction (amylase 820 IU/l, lipase 558 IU/l).",anorexia nervosa,MENTAL_HEALTH,suffer from,aspartate aminotransferase,CHEMICAL
10435364,"A twenty-year-old woman with anorexia nervosa (body mass index=11) suffered from severe liver dysfunction (aspartate aminotransferase 5,000 IU/l, alanine aminotransferase 3,980 IU/l, prothrombin time 32%), hypoglycemia (serum glucose 27 mg/dl), and pancreatic dysfunction (amylase 820 IU/l, lipase 558 IU/l).",anorexia nervosa,MENTAL_HEALTH,suffer from,pancreatic dysfunction,DISEASE
10435364,"A twenty-year-old woman with anorexia nervosa (body mass index=11) suffered from severe liver dysfunction (aspartate aminotransferase 5,000 IU/l, alanine aminotransferase 3,980 IU/l, prothrombin time 32%), hypoglycemia (serum glucose 27 mg/dl), and pancreatic dysfunction (amylase 820 IU/l, lipase 558 IU/l).",anorexia nervosa,MENTAL_HEALTH,suffer from,hypoglycemia,DISEASE
10435364,"A twenty-year-old woman with anorexia nervosa (body mass index=11) suffered from severe liver dysfunction (aspartate aminotransferase 5,000 IU/l, alanine aminotransferase 3,980 IU/l, prothrombin time 32%), hypoglycemia (serum glucose 27 mg/dl), and pancreatic dysfunction (amylase 820 IU/l, lipase 558 IU/l).",anorexia nervosa,MENTAL_HEALTH,suffer from,severe liver dysfunction,DISEASE
10435364,"A twenty-year-old woman with anorexia nervosa (body mass index=11) suffered from severe liver dysfunction (aspartate aminotransferase 5,000 IU/l, alanine aminotransferase 3,980 IU/l, prothrombin time 32%), hypoglycemia (serum glucose 27 mg/dl), and pancreatic dysfunction (amylase 820 IU/l, lipase 558 IU/l).",anorexia nervosa,MENTAL_HEALTH,suffer from,alanine aminotransferase,CHEMICAL
10435364,"A twenty-year-old woman with anorexia nervosa (body mass index=11) suffered from severe liver dysfunction (aspartate aminotransferase 5,000 IU/l, alanine aminotransferase 3,980 IU/l, prothrombin time 32%), hypoglycemia (serum glucose 27 mg/dl), and pancreatic dysfunction (amylase 820 IU/l, lipase 558 IU/l).",anorexia nervosa,MENTAL_HEALTH,suffer from,glucose mg/dl,CHEMICAL
6509858,"Neurotic depression is associated with the oestrogen content of combined oral contraceptives, but the risk is small in general, and there is no excess risk associated with oestrogen doses of 35 micrograms or less.",Neurotic depression,MENTAL_HEALTH,associated with oestrogen content of,combined oral contraceptives,CHEMICAL
6509858,"Neurotic depression is associated with the oestrogen content of combined oral contraceptives, but the risk is small in general, and there is no excess risk associated with oestrogen doses of 35 micrograms or less.",Neurotic depression,MENTAL_HEALTH,associated with,oestrogen content,CHEMICAL
6509858,The progestogen activity of combined oral contraceptives is associated with an increased risk of hypertension and arterial disease.,progestogen activity,CHEMICAL,associated with increased risk of,arterial disease,DISEASE
6509858,The progestogen activity of combined oral contraceptives is associated with an increased risk of hypertension and arterial disease.,progestogen activity,CHEMICAL,associated with increased risk of,hypertension,DISEASE
6509858,The progestogen activity of combined oral contraceptives is associated with an increased risk of hypertension and arterial disease.,combined oral contraceptives,CHEMICAL,associated with increased risk of,arterial disease,DISEASE
6509858,The progestogen activity of combined oral contraceptives is associated with an increased risk of hypertension and arterial disease.,combined oral contraceptives,CHEMICAL,associated with increased risk of,hypertension,DISEASE
6509858,"In the author's opinion, there is no convincing evidence that oral contraceptive use increases the risk of breast cancer.",oral contraceptive use,CHEMICAL,increase risk of,breast cancer,DISEASE
27090562,Prior studies showed the reversal of these behavioral deficits by low dose thyroxine (T4) supplementation to the ethanol-consuming mothers.,low dose thyroxine,CHEMICAL,have the reversal of,behavioral deficits,DISEASE
35247505,Here is an attempt to analyze the neuroprotective effect of jatamansinol isolated from N. jatamansi against Aβ42 protein-induced neurotoxicity using the Aβ42 protein expressed Drosophila Alzheimer's disease (AD) model.,protein-induced neurotoxicity,DISEASE,express,Alzheimer's disease,DISEASE
12473531,These therapeutics (mainly etilefrine and epinephrine) were first reserved for priapism resulting from intrapenile injections of vasoactive drugs which are used for the treatment of impotence.,therapeutics etilefrine,CHEMICAL,reserved for,priapism,DISEASE
12473531,"However, self-administered ICI associated with the oral treatment protects patients with stuttering priapism against acute strokes.",self-administered ICI,CHEMICAL,protect patients with stuttering priapism against,acute strokes,DISEASE
12473531,"However, self-administered ICI associated with the oral treatment protects patients with stuttering priapism against acute strokes.",self-administered ICI,CHEMICAL,protect patients with,stuttering,MENTAL_HEALTH
12473531,The excellent efficacy of ICI in sickle-cell priapism leads to suggest that the pathogenic mechanism could involve a neuromuscular dysfunction.,ICI,CHEMICAL,have the excellent efficacy in,sickle-cell priapism,DISEASE
35565860,"Multivariate Logistic regression analysis showed that vitamin A intake (Q3 vs. Q1: OR = 0.785, 95% CI: 0.702~0.878; Q4 vs. Q1: OR = 0.766, 95% CI: 0.679~0.865), niacin intake (Q2 vs. Q1: OR = 0.801, 95% CI: 0.715-0.898; Q3 vs. Q1: OR = 0.632, 95% CI: 0.554~0.721; Q4 vs. Q1: OR = 0.662, 95% CI: 0.568~0.772), Zinc intake (Q4 vs. Q1: OR = 0.786, 95% CI: 0.662~0.932) were a protective factor for overweight/obesity in women, while vitamin B2 intake (Q2 vs. Q1: OR = 1.256, 95% CI: 1.120~1.408; Q3 vs. Q1: OR = 1.416, 95% CI: 1.240~1.617; Q4 vs. Q1: OR = 1.515, 95% CI: 1.293-1.776), vitamin E intake (Q2 vs. Q1: OR = 1.114, 95% CI: 1.006-0.235; Q3 vs. Q1: OR = 1.162, 95% CI: 1.048~0.288; Q4 vs. Q1: OR = 1.234, 95% CI: 1.112-1.371) was a risk factor for overweight/obesity in females.",Multivariate Logistic regression analysis,MENTAL_HEALTH,show,vitamin A intake,BIOCHEMICAL
6151270,"The activity of Mg2+-ATPase was determined in the cortex mitochondrial fraction, limbic system and medulla oblongata under conditions of chronic stress as well as against a background of preliminary therapy by psychotropic drugs.",Mg2,CHEMICAL,determined in,chronic stress,MENTAL_HEALTH
6684488,"The content of adenylic nucleotides (ATP, ADP and AMP) in different structures of the rat brain (cortex, limbic system, medulla oblongata) was studied in experimental chronic stress (anxiety) as was its correction with psychotropic agents--the derivatives of different chemical compounds.",ATP ADP,CHEMICAL,studied in,anxiety,MENTAL_HEALTH
6684488,"The content of adenylic nucleotides (ATP, ADP and AMP) in different structures of the rat brain (cortex, limbic system, medulla oblongata) was studied in experimental chronic stress (anxiety) as was its correction with psychotropic agents--the derivatives of different chemical compounds.",ATP ADP,CHEMICAL,studied in,experimental chronic stress,MENTAL_HEALTH
35601382,"Laboratory features, such as elevated lactate, basal ganglia calcification, and gyriform restricted diffusion may be helpful in identifying patients with MELAS.",basal ganglia calcification,DISEASE,identify patients with,MELAS,DISEASE
35601382,"Laboratory features, such as elevated lactate, basal ganglia calcification, and gyriform restricted diffusion may be helpful in identifying patients with MELAS.",elevated lactate,CHEMICAL,identify patients with,MELAS,DISEASE
24840644,"Clinical studies suggest that the injectable contraceptive medroxyprogesterone acetate (MPA) increases susceptibility to infections such as HIV-1, unlike the injectable contraceptive norethisterone enanthate (NET-EN).",MPA,CHEMICAL,increase susceptibility to infections such as,injectable contraceptive norethisterone enanthate,CHEMICAL
24840644,"Clinical studies suggest that the injectable contraceptive medroxyprogesterone acetate (MPA) increases susceptibility to infections such as HIV-1, unlike the injectable contraceptive norethisterone enanthate (NET-EN).",MPA,CHEMICAL,increase susceptibility to infections such as,NET-EN,CHEMICAL
24840644,"Clinical studies suggest that the injectable contraceptive medroxyprogesterone acetate (MPA) increases susceptibility to infections such as HIV-1, unlike the injectable contraceptive norethisterone enanthate (NET-EN).",MPA,CHEMICAL,increase susceptibility to,infections,DISEASE
24840644,"These findings suggest that in the context of the genital mucosa, these GR-mediated glucocorticoid-like effects of MPA in cervical epithelial cells are likely to play a critical role in discriminating between the effects on inflammation caused by different progestins and P4 and hence susceptibility to genital infections, given the predominant expression of the GR in primary endocervical epithelial cells.",MPA,CHEMICAL,given predominant expression of,GR,CHEMICAL
28072841,"Increased production of adiponectin in db/db mice due to dmp effected lowering of circulatory TG and FFA levels, activates AMPK in skeletal muscle and this stimulates mitochondrial biogenesis and bioenergetics.",db/db mice,DISEASE,lowering of,FFA,CHEMICAL
28072841,"Increased production of adiponectin in db/db mice due to dmp effected lowering of circulatory TG and FFA levels, activates AMPK in skeletal muscle and this stimulates mitochondrial biogenesis and bioenergetics.",db/db mice,DISEASE,lowering of,circulatory TG,DISEASE
28072841,"Increased production of adiponectin in db/db mice due to dmp effected lowering of circulatory TG and FFA levels, activates AMPK in skeletal muscle and this stimulates mitochondrial biogenesis and bioenergetics.",dmp,CHEMICAL,lowering of,FFA,CHEMICAL
28072841,"Increased production of adiponectin in db/db mice due to dmp effected lowering of circulatory TG and FFA levels, activates AMPK in skeletal muscle and this stimulates mitochondrial biogenesis and bioenergetics.",dmp,CHEMICAL,lowering of,circulatory TG,DISEASE
35350940,It has been widely reported that the key biomarkers of homocysteine metabolic pathways have emerged as markers or independent risk factors for cardiovascular disease and many other diseases.,homocysteine metabolic pathways,CHEMICAL,emerge as markers or independent risk factors for,cardiovascular disease,DISEASE
12507043,"We conclude that lithium intoxication may be associated with variable behavioural and cognitive impairments, some of them potentially persistent.",lithium intoxication,NUTRITION,associated with,variable impairments,DISEASE
12507043,"Different from other case studies our findings suggest that lithium intoxication may cause a combined, multifocal functional impairment of subcortical and cortical neural mechanisms in both hemispheres.",lithium intoxication,NUTRITION,cause,combined functional impairment,DISEASE
32733680,"The abuse of cocaine and its most frequent adulterant, levamisole, may induce ischemic or hemorrhagic stroke and metabolic or multifocal inflammatory leukoencephalopathy.",cocaine,CHEMICAL,induce,stroke,DISEASE
32733680,"The abuse of cocaine and its most frequent adulterant, levamisole, may induce ischemic or hemorrhagic stroke and metabolic or multifocal inflammatory leukoencephalopathy.",cocaine,CHEMICAL,induce,ischemic leukoencephalopathy,DISEASE
29182995,Levamisole is now frequently used as an ingredient in cocaine and may cause leukoencephalopathy.,Levamisole,CHEMICAL,cause,leukoencephalopathy,DISEASE
29182995,Levamisole is now frequently used as an ingredient in cocaine and may cause leukoencephalopathy.,Levamisole,CHEMICAL,used as ingredient in,cocaine,CHEMICAL
29182995,It is recommended to check urine levamisole levels in patients with cocaine-induced leukoencephalopathy with or without mimicking Balo's Concentric Sclerosis.,levamisole levels,CHEMICAL,in patients with,cocaine-induced leukoencephalopathy,DISEASE
21432608,"A 14-year-old girl with suicidal ideation was presented to the paediatric hospital about 2 h after ingestion of 21 long-acting methylphenidate (MPH) 54-mg tablets (1,134 mg Concerta(®)).",suicidal ideation,DISEASE,presented to paediatric hospital about h after ingestion of,"1,134 mg",CHEMICAL
21432608,"A 14-year-old girl with suicidal ideation was presented to the paediatric hospital about 2 h after ingestion of 21 long-acting methylphenidate (MPH) 54-mg tablets (1,134 mg Concerta(®)).",suicidal ideation,DISEASE,presented to paediatric hospital about h after ingestion of,long-acting methylphenidate,CHEMICAL
21432608,"A 14-year-old girl with suicidal ideation was presented to the paediatric hospital about 2 h after ingestion of 21 long-acting methylphenidate (MPH) 54-mg tablets (1,134 mg Concerta(®)).",suicidal ideation,DISEASE,presented to paediatric hospital about h after ingestion of,MPH,CHEMICAL
21432608,"A 14-year-old girl with suicidal ideation was presented to the paediatric hospital about 2 h after ingestion of 21 long-acting methylphenidate (MPH) 54-mg tablets (1,134 mg Concerta(®)).",suicidal ideation,DISEASE,presented to paediatric hospital about h after ingestion of,®,DISEASE
21432608,"A 14-year-old girl with suicidal ideation was presented to the paediatric hospital about 2 h after ingestion of 21 long-acting methylphenidate (MPH) 54-mg tablets (1,134 mg Concerta(®)).",suicidal ideation,DISEASE,presented to paediatric hospital about h after ingestion of,mg Concerta,CHEMICAL
21432608,Exposure to a huge overdose of long-acting MPH exhibited acute sympathomimetic toxicity but no life-threatening symptoms in this patient.,huge overdose,DISEASE,exhibit,acute sympathomimetic toxicity,DISEASE
21432608,Exposure to a huge overdose of long-acting MPH exhibited acute sympathomimetic toxicity but no life-threatening symptoms in this patient.,long-acting MPH,CHEMICAL,exhibit,acute sympathomimetic toxicity,DISEASE
29898070,"It can be concluded that XP-Endo Finisher instruments showed improved performance when compared with XP-Clean instruments, demonstrating higher cyclic fatigue resistance and lower roughness.",Finisher instruments,NUTRITION,demonstrate,higher cyclic fatigue resistance,MENTAL_HEALTH
